キー	旧・英文	旧・訳	新・英文	新・訳
a_and_b_at_that	The project was behind schedule, and incredibly expensive at that.	そのプロジェクトはスケジュールに遅れており、さらに言うと非常に高額だった。	He is a talented musician, and a skilled painter at that.	彼は才能ある音楽家だ、その上、腕の良い画家でもある。
a_as_well_as_b	Coffee as well as tea provides a welcome boost of energy in the morning.	コーヒーだけでなくお茶も、朝にありがたいエネルギーを与えてくれます。	The festival attracts tourists as well as local residents.	その祭りは地元の住民だけでなく観光客も引き寄せる。
a_case_in_point	His constant tardiness is a case in point illustrating his lack of respect for others.	彼の慢性的な遅刻は、他人への敬意が足りないことの典型例だ。	This recent scandal is a case in point for corporate greed today.	この最近のスキャンダルは、通例、今日の企業の強欲さを示す例だ。
a_couple_of	We only need a couple of minutes to review the details before our meeting.	会議の前に詳細を確認するのにわずか数分しか必要ありません。	I need a couple of days to finish this important report properly.	この重要な報告書を仕上げるにはいくつかの日数が必要だ。
a_great	We had a great time exploring the ancient ruins and learning about their history.	私たちは古代遺跡を探検し、その歴史について学ぶことにはとても楽しい時間を過ごしました。	A great deal of effort went into organizing this year's school festival.	今年の学園祭を企画するのにかなりたくさんの努力が注がれた。
a_great_good_deal_of	There was a great deal of excitement surrounding the release of the new album.	新しいアルバムのリリースには、たくさんの期待が集まりました。	A good deal of research supports this theory about ancient climates.	この古代の気候に関する説を裏付けるたくさんの研究がある。
a_handful_of	A handful of students raised their hands in response to the teacher's question.	少数の学生が先生の質問に対して手を挙げた。	Only a handful of students volunteered to help clean the local park.	地元の公園の清掃を手伝うと申し出た生徒は一握りだけだった。
a_host_of	The festival attracted a host of visitors from across the country.	その祭りは、国内外から多数の訪問者を集めた。	The new policy raised a host of concerns among small business owners.	その新しい政策は中小企業の経営者の間にたくさんの懸念を引き起こした。
a_is_no_less	Her dedication to the project is no less impressive than his, even with different approaches.	彼女のプロジェクトへの献身は、彼のそれとアプローチが異なっても、同様に感銘的です。	Her contribution to the project is no less important than his.	彼女のプロジェクトへの貢献は彼のものに劣らず重要である。
a_is_not	This new policy is not a solution to the problem any more than the previous one.	この新しいポリシーは、前のものと同様に、問題の解決策にはなりません。	This whale is not a fish any more than that bat is a bird.	あのコウモリが鳥でないのと同様に、このクジラは魚ではない。
a_is_one_thing_and_b_is_another	Following the recipe precisely is one thing, and actually baking a cake is another.	レシピを厳密に守ることは別で、実際にケーキを焼くのは別の話だ。	Knowing the rules is one thing, and following them is another matter.	規則を知っていることと、それを守ることとは別の物である。
a_is_to_b_what_c_is_to_d	Joy is to sorrow what laughter is to tears.	喜びは悲しみに対して笑いが涙に対してである。	This key is to that lock what a password is to a computer account.	この鍵と錠の関係は、パスワードとコンピューターアカウントの関係に等しい。
a_kind_of	This dish is a kind of traditional comfort food often served during the holidays.	この料理は、休暇中にしばしば食べられる伝統的な家庭料理の一種です。	Origami is a kind of traditional Japanese paper folding art.	折り紙は伝統的な日本の紙を折る一種の芸術である。
a_large_number_of	A large number of applicants applied for the prestigious scholarship program this year.	今年も権威ある奨学金プログラムには、多くの応募者がありました。	A large number of birds gathered near the lake.	たくさんの鳥が湖の近くに集まった。
a_lot_of	There were a lot of people at the concert, so we couldn't get very close to the stage.	コンサートには多くの人がいたので、ステージにとても近いところまで行くことができませんでした。	A lot of tourists visit this small coastal town every summer.	毎年夏、多数の観光客がこの小さな沿岸の町を訪れる。
a_lot_of_lots_of	There are lots of opportunities for international students to study abroad these days.	最近では、留学生にとって海外で学ぶ機会がたくさんあります。	Lots of students stayed late to prepare for the science fair.	たくさんの生徒が科学発表会の準備のため遅くまで残った。
a_number_of	A number of students expressed concerns about the new curriculum changes.	多くの生徒が、新しいカリキュラム変更について懸念を表明しました。	A number of employees requested to work from home this month.	かなり多くの社員が今月在宅勤務を希望した。
a_piece_of	Could I please have a piece of cake with my coffee this afternoon?	もしよろしければ、午後にお茶と一緒にケーキを一片いただけますか？	She gave me a piece of valuable advice before the big interview.	彼女は大事な面接の前に、１つの貴重な助言をくれた。
a_series_of	The company announced a series of new environmental initiatives to reduce its carbon footprint.	その会社は、炭素排出量を削減するための一連の新しい環境対策を発表しました。	A series of small earthquakes shook the coastal town.	一連の小さな地震がその沿岸の町を揺らした。
