種類	デッキ	前	後
綴り	1400	businesss	business
訳の誤り	1400	call off: 〜を中心する，取り消す	〜を中止する，取り消す
見出し語の復元	大学受験英熟語	(as) compared to | 〔with〕 ～ ～と比べると	(as) compared to 〔with〕 ～ | ～と比べると
見出し語の復元	大学受験英熟語	(enough) | ～ to go around 全員に行き渡るだけの～	(enough) ～ to go around | 全員に行き渡るだけの～
見出し語の復元	大学受験英熟語	(every) now and then | 〔again〕 時々	(every) now and then 〔again〕 | 時々
見出し語の復元	大学受験英熟語	(It is) True | ～, but … 確かに～だが、…だ	(It is) True ～, but … | 確かに～だが、…だ
見出し語の復元	大学受験英熟語	(just) around | 〔round〕 the corner （距離・時間的に）すぐ近くに	(just) around 〔round〕 the corner | （距離・時間的に）すぐ近くに
見出し語の復元	大学受験英熟語	(Just) As | ～, so … ちょうど～であるように…だ	(Just) As ～, so … | ちょうど～であるように…だ
見出し語の復元	大学受験英熟語	(on (the) one hand | ～,) on the other hand ... （一方では～）他方では...	(on (the) one hand ～,) | on the other hand ... （一方では～）他方では...
見出し語の復元	大学受験英熟語	( | 名詞)＋that ... ...という～（同格のthat）	(名詞) | ＋that ... ...という～（同格のthat）
見出し語の復元	大学受験英熟語	and so on | 〔forth〕 ～など	and so on 〔forth〕 | ～など
見出し語の復元	大学受験英熟語	a great | 〔good〕 deal (of ～) かなりたくさん（の～）	a great 〔good〕 deal (of ～) | かなりたくさん（の～）
見出し語の復元	大学受験英熟語	act on | 〔upon〕 ～ ～に基づいて行動する ～に作用する	act on 〔upon〕 ～ | ～に基づいて行動する ～に作用する
見出し語の復元	大学受験英熟語	all over ( | ～) （～の）至る所に［で］、一面に	all over (～) | （～の）至る所に［で］、一面に
見出し語の復元	大学受験英熟語	as | ～ as any どれ[誰]にも劣らず～	as ～ as any | どれ[誰]にも劣らず～
見出し語の復元	大学受験英熟語	as | ～ as ever 相変わらず～	as ～ as ever | 相変わらず～
見出し語の復元	大学受験英熟語	as | ～ as possible [one can] できる限り～	as ～ as possible [one can] | できる限り～
見出し語の復元	大学受験英熟語	as | ～ go 一般の～と比べると、～としては	as ～ go | 一般の～と比べると、～としては
見出し語の復元	大学受験英熟語	as | 〔so〕 far as ... ...まで ...する限りでは	as 〔so〕 far as ... | ...まで ...する限りでは
見出し語の復元	大学受験英熟語	as | 〔so〕 far as ～ be concerned ～に関する限り	as 〔so〕 far as ～ be concerned | ～に関する限り
見出し語の復元	大学受験英熟語	as | 〔so〕 long as ... ...する限り ...でさえあれば	as 〔so〕 long as ... | ...する限り ...でさえあれば
見出し語の復元	大学受験英熟語	as a result | 〔consequence〕 (of ～) （～の）結果として	as a result 〔consequence〕 (of ～) | （～の）結果として
見出し語の復元	大学受験英熟語	as is often the case (with | ～) （～に）よくあることだが	as is often the case (with ～) | （～に）よくあることだが
見出し語の復元	大学受験英熟語	as many | 〔much〕 as ～ ～ほど多数〔多量〕の	as many 〔much〕 as ～ | ～ほど多数〔多量〕の
見出し語の復元	大学受験英熟語	as though | 〔if〕 ... まるで...かのように	as though 〔if〕 ... | まるで...かのように
見出し語の復元	大学受験英熟語	ask a favor of | ～ / ask ～ a favor ～にお願いする〔頼む〕	ask a favor of ～ / ask ～ a favor | ～にお願いする〔頼む〕
見出し語の復元	大学受験英熟語	at | ～'s convenience ～の都合の良いときに	at ～'s convenience | ～の都合の良いときに
見出し語の復元	大学受験英熟語	at home (with/in/on | ～) ①在宅して ②くつろいで ③（～に）精通して	at home (with/in/on ～) | ①在宅して ②くつろいで ③（～に）精通して
見出し語の復元	大学受験英熟語	at odds (with | ～) （～と）食い違っている、（～と）反目し合っている	at odds (with ～) | （～と）食い違っている、（～と）反目し合っている
見出し語の復元	大学受験英熟語	at the cost | 〔price〕 of ～ ～を犠牲にして	at the cost 〔price〕 of ～ | ～を犠牲にして
見出し語の復元	大学受験英熟語	at the mercy of | ～ 〔＝at one's mercy〕 ～のなす〔言う〕がままに	at the mercy of ～ 〔＝at one's mercy〕 | ～のなす〔言う〕がままに
見出し語の復元	大学受験英熟語	be accustomed to | ～ 〔...ing〕 ～に〔...することに〕慣れている	be accustomed to ～ 〔...ing〕 | ～に〔...することに〕慣れている
見出し語の復元	大学受験英熟語	be based on | 〔upon〕 ～ ～に基づいている	be based on 〔upon〕 ～ | ～に基づいている
見出し語の復元	大学受験英熟語	be beside oneself (with | ～) （～で）我を忘れる、（～に）夢中である	be beside oneself (with ～) | （～で）我を忘れる、（～に）夢中である
見出し語の復元	大学受験英熟語	be bored with | 〔of〕 ～ ～に退屈している ～にうんざりしている	be bored with 〔of〕 ～ | ～に退屈している ～にうんざりしている
見出し語の復元	大学受験英熟語	be busy ...ing | 〔with ～〕 ...するのに忙しい、〔～に〕忙しい	be busy ...ing 〔with ～〕 | ...するのに忙しい、〔～に〕忙しい
見出し語の復元	大学受験英熟語	be certain | 〔sure〕 of 〔about〕 ～ ～を確信している	be certain 〔sure〕 of 〔about〕 ～ | ～を確信している
見出し語の復元	大学受験英熟語	be concerned about | 〔for〕 ～ ～について懸念している	be concerned about 〔for〕 ～ | ～について懸念している
見出し語の復元	大学受験英熟語	be connected with | 〔to〕 ～ ～とつながっている ～と関係がある	be connected with 〔to〕 ～ | ～とつながっている ～と関係がある
見出し語の復元	大学受験英熟語	be convinced that ... | 〔of ～〕 ...であると〔～を〕確信している	be convinced that ... 〔of ～〕 | ...であると〔～を〕確信している
見出し語の復元	大学受験英熟語	be cut out for | 〔to be〕 ～ ～に向いている ～に適している	be cut out for 〔to be〕 ～ | ～に向いている ～に適している
見出し語の復元	大学受験英熟語	be faced with | 〔by〕 ～ ～に直面している	be faced with 〔by〕 ～ | ～に直面している
見出し語の復元	大学受験英熟語	be indispensable to | 〔for〕 ～ ～にとって不可欠である	be indispensable to 〔for〕 ～ | ～にとって不可欠である
見出し語の復元	大学受験英熟語	be involved in | 〔with〕 ～ ～に巻き込まれている、関係している、～に熱中している	be involved in 〔with〕 ～ | ～に巻き込まれている、関係している、～に熱中している
見出し語の復元	大学受験英熟語	be lacking | 〔wanting〕 in ～ ～が〔に〕欠けている	be lacking 〔wanting〕 in ～ | ～が〔に〕欠けている
見出し語の復元	大学受験英熟語	be married (to | ～) （～と）結婚している	be married (to ～) | （～と）結婚している
見出し語の復元	大学受験英熟語	be on the verge | 〔point〕 of ...ing 今にも...しそうである	be on the verge 〔point〕 of ...ing | 今にも...しそうである
見出し語の復元	大学受験英熟語	be particular about | 〔over〕 ～ （好みなどに関して）～にうるさい	be particular about 〔over〕 ～ | （好みなどに関して）～にうるさい
見出し語の復元	大学受験英熟語	be sure | 〔certain〕 to do 必ず...する	be sure 〔certain〕 to do | 必ず...する
見出し語の復元	大学受験英熟語	be to blame (for | ～) （～に対して）責めを負うべきである[責任がある]	be to blame (for ～) | （～に対して）責めを負うべきである[責任がある]
見出し語の復元	大学受験英熟語	be | 〔become〕 keen on ～ ～に熱中している〔する〕	be 〔become〕 keen on ～ | ～に熱中している〔する〕
見出し語の復元	大学受験英熟語	beat about | 〔around〕 the bush 遠回しに言う	beat about 〔around〕 the bush | 遠回しに言う
見出し語の復元	大学受験英熟語	blow up ( | ～) （怒りなど）感情をぶつける 爆発する ～を爆破する	blow up (～) | （怒りなど）感情をぶつける 爆発する ～を爆破する
見出し語の復元	大学受験英熟語	break down ( | ～) ～（食物）を消化する 故障する 崩壊する	break down (～) | ～（食物）を消化する 故障する 崩壊する
見出し語の復元	大学受験英熟語	break off ( | ～) ～をもぎ取る、～（話など）を急にやめる、別れる	break off (～) | ～をもぎ取る、～（話など）を急にやめる、別れる
見出し語の復元	大学受験英熟語	break one's promise | 〔word〕 約束を破る	break one's promise 〔word〕 | 約束を破る
見出し語の復元	大学受験英熟語	bring | ～ into being 〔existence〕 ～を生み出す ～（子）を産む	bring ～ into being 〔existence〕 | ～を生み出す ～（子）を産む
見出し語の復元	大学受験英熟語	bring | ～ to an end 〔a close〕 ～を終わらせる	bring ～ to an end 〔a close〕 | ～を終わらせる
見出し語の復元	大学受験英熟語	bring | ～ to light ～を明るみに出す	bring ～ to light | ～を明るみに出す
見出し語の復元	大学受験英熟語	by accident | 〔chance〕 たまたま 偶然	by accident 〔chance〕 | たまたま 偶然
見出し語の復元	大学受験英熟語	calm down ( | ～) ～を落ち着かせる［静める］、落ち着く［静まる］	calm down (～) | ～を落ち着かせる［静める］、落ち着く［静まる］
見出し語の復元	大学受験英熟語	cannot | ～ too … いくら～してもしすぎることはない	cannot ～ too … | いくら～してもしすぎることはない
見出し語の復元	大学受験英熟語	carry on ( | ～) （～を）続ける = happen, occur	carry on (～) | （～を）続ける = happen, occur
見出し語の復元	大学受験英熟語	catch | ～ doing （人）が…しているところを見つける[捕らえる]	catch ～ doing | （人）が…しているところを見つける[捕らえる]
見出し語の復元	大学受験英熟語	come into being | 〔existence〕 生まれる 出現する	come into being 〔existence〕 | 生まれる 出現する
見出し語の復元	大学受験英熟語	come to one's senses | 〔oneself〕 正気を取り戻す 意識を取り戻す	come to one's senses 〔oneself〕 | 正気を取り戻す 意識を取り戻す
見出し語の復元	大学受験英熟語	commit | 〔make〕 an error 過ちを犯す 間違える	commit 〔make〕 an error | 過ちを犯す 間違える
見出し語の復元	大学受験英熟語	complain (to A) about | 〔of〕 B （Aに）Bについて不平を言う	complain (to A) about 〔of〕 B | （Aに）Bについて不平を言う
見出し語の復元	大学受験英熟語	count on | 〔upon〕 ～ ～を当てにする ～に（当然のように）頼る	count on 〔upon〕 ～ | ～を当てにする ～に（当然のように）頼る
見出し語の復元	大学受験英熟語	cut back | 〔down〕 (on) ～ ～を減らす ～を切り詰める	cut back 〔down〕 (on) ～ | ～を減らす ～を切り詰める
見出し語の復元	大学受験英熟語	decide on | 〔upon〕 ～ ～を選ぶ ～を決定する	decide on 〔upon〕 ～ | ～を選ぶ ～を決定する
見出し語の復元	大学受験英熟語	do | ～ good / do good to ～ ～にとってよい ～のためになる	do ～ good / do good to ～ | ～にとってよい ～のためになる
見出し語の復元	大学受験英熟語	do | ～ harm [damage] / do harm [damage] to ～ ～に害を与える	do ～ harm [damage] / do harm [damage] to ～ | ～に害を与える
見出し語の復元	大学受験英熟語	drop in (on | 人； at 場所) （～に）立ち寄る	drop in (on 人； at 場所) | （～に）立ち寄る
見出し語の復元	大学受験英熟語	drop out (of | ～) 中途退学する、（～から）手を引く、（～から）脱落する	drop out (of ～) | 中途退学する、（～から）手を引く、（～から）脱落する
見出し語の復元	大学受験英熟語	end up | ～ 〔...ing〕 結局～〔...すること〕になる	end up ～ 〔...ing〕 | 結局～〔...すること〕になる
見出し語の復元	大学受験英熟語	enter into | 〔on〕 ～ ～（新しい仕事など）を始める ～に取り掛かる	enter into 〔on〕 ～ | ～（新しい仕事など）を始める ～に取り掛かる
見出し語の復元	大学受験英熟語	even if | 〔though〕 ... たとえ...であっても	even if 〔though〕 ... | たとえ...であっても
見出し語の復元	大学受験英熟語	fall back on | 〔upon〕 ～ （困ったときに）～に頼る	fall back on 〔upon〕 ～ | （困ったときに）～に頼る
見出し語の復元	大学受験英熟語	figure out ( | ～) ～を理解する、～を計算する、～を解く	figure out (～) | ～を理解する、～を計算する、～を解く
見出し語の復元	大学受験英熟語	find one's way (to/into | ～) （～に）やっとたどり着く	find one's way (to/into ～) | （～に）やっとたどり着く
見出し語の復元	大学受験英熟語	follow through (on/with | ～) （～を）やり遂げる	follow through (on/with ～) | （～を）やり遂げる
見出し語の復元	大学受験英熟語	for good | 〔ever〕 永久に これっきり	for good 〔ever〕 | 永久に これっきり
見出し語の復元	大学受験英熟語	for instance | 〔example〕 例えば	for instance 〔example〕 | 例えば
見出し語の復元	大学受験英熟語	for one thing | ～ (, for another ...) 1つには～（，また1つには...）	for one thing ～ (, for another ...) | 1つには～（，また1つには...）
見出し語の復元	大学受験英熟語	for want | 〔lack〕 of ～ ～の不足のため ～がないので	for want 〔lack〕 of ～ | ～の不足のため ～がないので
見出し語の復元	大学受験英熟語	from | ～ on/onward(s) ～から以後は	from ～ on/onward(s) | ～から以後は
見出し語の復元	大学受験英熟語	from | ～ point of view ～の視点から（は）	from ～ point of view | ～の視点から（は）
見出し語の復元	大学受験英熟語	get | ～ across ～を伝える、分かってもらう	get ～ across | ～を伝える、分かってもらう
見出し語の復元	大学受験英熟語	get along (with | ～) （～と）うまくやっていく、暮らしていく	get along (with ～) | （～と）うまくやっていく、暮らしていく
見出し語の復元	大学受験英熟語	get in touch (with | ～) （～と）連絡を取る	get in touch (with ～) | （～と）連絡を取る
見出し語の復元	大学受験英熟語	get involved in | 〔with〕 ～ ～に巻き込まれる、関係する	get involved in 〔with〕 ～ | ～に巻き込まれる、関係する
見出し語の復元	大学受験英熟語	get married (to | ～) （～と）結婚する	get married (to ～) | （～と）結婚する
見出し語の復元	大学受験英熟語	get on ( | ～) ①（公共の乗り物など）に乗る ②仲良くやっていく、（なんとか）やっていく	get on (～) | ①（公共の乗り物など）に乗る ②仲良くやっていく、（なんとか）やっていく
